Patient Zip,2022
90001,26769
90002,26696
90003,38163
90004,15891
90005,9671
90006,18528
90007,11311
90008,14327
90009,406
90010,987
90011,43394
90012,15474
90013,7821
90014,4213
90015,7836
90016,18672
90017,9284
90018,18644
90019,18291
90020,8774
90021,1763
90022,25572
90023,19785
90024,6282
90025,8095
90026,15954
90027,11334
90028,9672
90029,11272
90030,111
90031,11897
90032,16270
90033,21000
90034,12434
90035,6325
90036,6361
90037,27186
90038,8098
90039,6116
90040,4636
90041,6633
90042,15978
90043,20461
90044,49229
90045,7619
90046,8927
90047,25302
90048,5555
90049,5550
90050,61
90051,110
90052,41
90053,45
90054,89
90055,56
90056,2961
90057,16174
90058,1798
90059,26845
90060,159
90061,16320
90062,14632
90063,20266
90064,5547
90065,13066
90066,11597
90067,739
90068,3591
90069,3556
90070,23
90071,273
90072,46
90073,104
90074,23
90075,63
90076,28
90077,1372
90078,201
90079,24
90080,18
90081,102
90082,57
90083,50
90084,20
90086,72
90087,40
90088,69
90089,172
90091,22
90093,85
90094,1550
90095,108
90096,20
90099,8
90134,2
90189,7
90201,36602
90202,197
90209,112
90210,3285
90211,1880
90212,2357
90213,97
90220,23892
90221,23528
90222,16689
90223,148
90224,152
90230,7642
90231,214
90232,4114
90233,3
90239,96
90240,7557
90241,14827
90242,14645
90245,2950
90247,18780
90248,4106
90249,10136
90250,34201
90251,257
90254,2630
90255,28231
90260,10978
90261,25
90262,27877
90263,87
90264,70
90265,2603
90266,4717
90267,125
90270,9502
90272,3570
90274,4672
90275,8519
90277,7122
90278,8193
90280,32862
90290,1102
90291,5886
90292,5386
90293,2109
90294,92
90295,142
90296,18
90301,15340
90302,11214
90303,10818
90304,9878
90305,5674
90306,60
90307,42
90308,71
90309,43
90310,46
90312,14
90401,2845
90402,1940
90403,5036
90404,7484
90405,6082
90406,155
90407,7
90408,53
90409,50
90410,2
90411,10
90501,14366
90502,5952
90503,10094
90504,7865
90505,8703
90506,22
90507,28
90508,47
90509,10
90510,152
90601,10572
90602,10618
90603,5505
90604,13769
90605,14829
90606,12259
90607,132
90608,143
90609,74
90610,21
90637,101
90638,12270
90639,54
90640,24964
90650,35371
90651,112
90652,51
90660,23024
90661,32
90662,32
90670,5601
90671,5
90701,5016
90702,96
90703,10560
90704,1968
90706,27478
90707,222
90710,10081
90711,86
90712,8112
90713,6415
90714,123
90715,6328
90716,5274
90717,8044
90723,18679
90731,29792
90732,6483
90733,143
90734,74
90744,24408
90745,20169
90746,10275
90747,22
90748,231
90749,142
90755,2768
90801,656
90802,12142
90803,5654
90804,12064
90805,33584
90806,15422
90807,8181
90808,7906
90809,122
90810,11873
90813,26951
90814,3734
90815,7871
90822,8
90831,15
90832,42
90833,1
90840,17
90842,7
90844,4
90847,6
90848,2
90853,50
90895,2
91001,9200
91003,70
91006,5742
91007,6814
91008,256
91009,61
91010,8441
91011,3291
91012,61
91016,11761
91017,173
91020,1944
91021,29
91023,4
91024,2138
91025,60
91030,4333
91031,107
91040,6308
91041,59
91042,8933
91043,38
91046,82
91066,87
91077,20
91101,4900
91102,244
91103,9495
91104,9286
91105,3768
91106,4738
91107,6961
91108,1552
91109,357
91110,4
91114,55
91115,21
91116,32
91117,64
91118,30
91124,10
91125,36
91126,14
91188,6
91201,6597
91202,5849
91203,4603
91204,6475
91205,12834
91206,9646
91207,2526
91208,4334
91209,122
91210,104
91214,6468
91221,60
91222,36
91224,35
91225,81
91226,67
91301,5260
91302,5140
91303,12390
91304,19378
91305,138
91306,17387
91307,8612
91308,88
91309,125
91310,63
91311,12316
91313,159
91316,8609
91321,12509
91322,88
91324,10355
91325,11443
91326,8263
91327,51
91328,693
91329,4
91330,91
91331,45625
91333,132
91334,108
91335,30336
91337,119
91340,15486
91341,102
91342,38932
91343,24642
91344,15493
91345,7965
91346,111
91350,9689
91351,10840
91352,19659
91353,118
91354,6104
91355,8037
91356,10561
91357,135
91364,7135
91365,210
91367,12982
91371,11
91372,102
91376,118
91380,263
91381,3890
91382,7
91383,6
91384,5978
91385,27
91386,197
91387,13050
91390,4324
91392,183
91393,47
91394,90
91395,57
91396,81
91401,12725
91402,31132
91403,6164
91404,140
91405,22917
91406,20035
91407,141
91408,59
91409,199
91410,11
91411,9121
91412,69
91413,198
91416,133
91423,6537
91426,100
91436,3131
91470,6
91495,1
91501,4933
91502,3413
91503,105
91504,6354
91505,7415
91506,4560
91507,38
91508,22
91510,206
91522,1
91523,6
91526,4
91601,11235
91602,3704
91603,132
91604,5634
91605,21582
91606,15686
91607,7614
91608,32
91609,30
91610,34
91611,2
91612,1
91614,91
91615,48
91616,10
91617,27
91618,1
91702,23691
91706,27918
91711,8353
91714,30
91715,99
91716,18
91722,13504
91723,8268
91724,9188
91731,10886
91732,24001
91733,17784
91734,208
91735,28
91740,9847
91741,6894
91744,31462
91745,14073
91746,10335
91747,289
91748,10997
91749,25
91750,9579
91754,8496
91755,5694
91756,38
91765,8802
91766,29922
91767,23303
91768,14815
91769,410
91770,15684
91771,11
91772,21
91773,10559
91775,4906
91776,9578
91778,66
91780,7697
91788,117
91789,7852
91790,15528
91791,10284
91792,8058
91793,155
91801,13330
91802,183
91803,7416
91804,13
93510,2073
93532,627
93534,28743
93535,47588
93536,26824
93539,627
93543,6027
93544,419
93550,41773
93551,18076
93552,16771
93553,854
93563,38
93584,248
93586,10
93590,744
93591,3675
90311,3
91521,1
91499,1
91123,1
91121,1
91482,1
