Patient Zip,2012,2013
90001,"20,064","20,851"
90002,"20,128","20,640"
90003,"25,855","26,813"
90004,"16,105","16,361"
90005,"8,422","8,620"
90006,"16,333","16,700"
90007,"10,459","10,743"
90008,"15,438","15,755"
90009,481,458
90010,571,638
90011,"33,874","35,679"
90012,"6,070","6,392"
90013,"6,979","7,426"
90014,"3,667","4,159"
90015,"5,845","6,446"
90016,"20,281","20,004"
90017,"7,626","7,770"
90018,"20,732","19,766"
90019,"20,656","20,630"
90020,"7,751","8,033"
90021,"1,641","1,818"
90022,"23,073","23,940"
90023,"16,926","17,542"
90024,"7,108","7,490"
90025,"8,824","7,881"
90026,"18,534","17,105"
90027,"15,237","14,494"
90028,"10,064","9,914"
90029,"12,712","12,758"
90030,126,128
90031,"11,459","11,880"
90032,"16,046","15,733"
90033,"25,292","28,808"
90034,"14,462","13,945"
90035,"7,800","7,492"
90036,"8,361","8,197"
90037,"23,184","24,559"
90038,"8,069","8,079"
90039,"7,341","7,252"
90040,"4,171","4,164"
90041,"7,042","7,118"
90042,"17,997","18,309"
90043,"19,140","19,753"
90044,"39,388","40,525"
90045,"7,780","7,586"
90046,"11,645","10,840"
90047,"22,202","22,136"
90048,"6,871","6,552"
90049,"5,993","5,686"
90050,128,114
90051,119,138
90052,106,97
90053,87,73
90054,128,115
90055,100,92
90056,"2,719","2,538"
90057,"14,416","15,228"
90058,"1,358","1,468"
90059,"17,315","17,281"
90060,182,157
90061,"11,461","11,872"
90062,"13,062","12,833"
90063,"18,688","19,113"
90064,"5,795","5,233"
90065,"13,789","14,095"
90066,"12,299","11,269"
90067,856,747
90068,"3,788","3,933"
90069,"4,823","4,251"
90070,65,43
90071,121,82
90072,53,40
90073,115,101
90074,44,32
90075,75,71
90076,68,54
90077,"1,469","1,384"
90078,384,456
90079,36,29
90080,20,19
90081,99,78
90082,62,75
90083,59,65
90084,16,25
90086,230,228
90087,43,37
90088,20,11
90089,69,97
90090,2,
90091,34,34
90093,93,92
90094,819,802
90095,75,202
90096,18,17
90097,4,2
90099,10,5
90101,9,14
90102,12,18
90103,4,6
90174,3,1
90185,1,
90189,8,
90201,"25,918","26,743"
90202,"4,446","4,658"
90209,136,128
90210,"4,377","4,135"
90211,"2,198","2,041"
90212,"2,527","2,565"
90213,195,245
90220,"20,218","20,765"
90221,"20,455","20,991"
90222,"12,255","12,266"
90223,75,54
90224,324,175
90230,"8,213","7,766"
90231,250,249
90232,"4,533","4,469"
90233,14,14
90239,123,91
90240,"6,455","6,169"
90241,"14,230","14,025"
90242,"13,738","13,520"
90245,"2,785","2,530"
90247,"15,868","16,477"
90248,"3,213","3,089"
90249,"8,580","9,140"
90250,"30,723","30,939"
90251,209,170
90254,"2,672","2,646"
90255,"22,084","23,922"
90260,"10,074","10,199"
90261,34,30
90262,"25,119","24,579"
90263,67,66
90264,55,61
90265,"2,286","2,254"
90266,"4,362","4,271"
90267,90,61
90270,"7,742","7,919"
90272,"3,831","3,524"
90274,"4,207","4,209"
90275,"7,686","7,467"
90277,"6,779","6,666"
90278,"8,236","7,788"
90280,"26,219","26,648"
90290,"1,005",931
90291,"6,427","5,892"
90292,"4,845","4,764"
90293,"1,804","1,777"
90294,205,184
90295,224,226
90296,24,18
90301,"15,538","15,700"
90302,"10,462","10,546"
90303,"9,938","9,726"
90304,"8,326","8,236"
90305,"5,649","5,461"
90306,81,83
90307,95,66
90308,109,99
90309,84,65
90310,50,54
90311,4,6
90312,5,5
90313,10,9
90401,"3,447","3,250"
90402,"2,005","1,878"
90403,"5,255","4,810"
90404,"8,407","7,797"
90405,"6,523","5,926"
90406,274,261
90407,12,11
90408,54,55
90409,62,62
90410,8,5
90411,8,3
90501,"12,187","12,294"
90502,"4,974","4,824"
90503,"9,702","9,341"
90504,"7,594","7,404"
90505,"7,604","7,426"
90506,25,25
90507,27,27
90508,38,60
90509,239,105
90510,137,141
90601,"9,460","9,738"
90602,"9,262","9,353"
90603,"4,553","4,574"
90604,"10,880","11,213"
90605,"12,944","13,240"
90606,"11,181","11,602"
90607,199,151
90608,173,154
90609,81,58
90610,34,34
90612,12,22
90637,108,89
90638,"7,650","7,639"
90639,59,36
90640,"21,328","21,278"
90650,"32,646","31,843"
90651,163,169
90652,58,61
90659,10,1
90660,"22,081","21,974"
90661,38,27
90662,28,36
90665,3,6
90670,"4,925","4,962"
90671,5,7
90701,"3,258","3,303"
90702,117,114
90703,"5,859","6,106"
90704,"1,250","1,378"
90706,"25,360","25,215"
90707,253,200
90710,"8,296","8,706"
90711,140,127
90712,"8,082","7,834"
90713,"5,613","5,519"
90714,208,148
90715,"4,493","4,455"
90716,"3,035","3,084"
90717,"6,611","6,563"
90723,"17,406","17,251"
90731,"29,011","29,998"
90732,"6,410","6,295"
90733,201,206
90734,81,63
90744,"19,343","20,517"
90745,"17,621","17,674"
90746,"9,466","9,247"
90747,31,31
90748,231,150
90749,133,125
90755,"2,761","2,819"
90801,935,898
90802,"16,007","16,072"
90803,"4,937","4,783"
90804,"14,635","14,938"
90805,"36,386","36,094"
90806,"18,188","18,011"
90807,"8,540","8,008"
90808,"5,850","5,579"
90809,108,114
90810,"12,204","11,881"
90813,"33,004","33,832"
90814,"3,642","3,555"
90815,"6,412","6,489"
90822,9,9
90831,14,39
90832,74,47
90833,11,4
90834,2,
90835,2,1
90840,17,10
90842,1,6
90844,5,7
90845,,5
90846,1,4
90847,5,7
90853,34,27
90895,4,2
91001,"9,284","9,519"
91003,97,76
91006,"5,171","5,226"
91007,"5,473","5,643"
91008,155,131
91009,55,68
91010,"7,667","7,899"
91011,"3,209","3,341"
91012,66,76
91016,"10,928","11,327"
91017,139,187
91020,"2,390","2,383"
91021,45,32
91023,1,4
91024,"2,124","2,018"
91025,77,61
91030,"4,143","4,319"
91031,117,109
91040,"5,769","6,040"
91041,125,106
91042,"7,972","8,602"
91043,71,73
91046,96,94
91050,19,8
91051,3,4
91066,71,91
91077,38,20
91101,"4,393","4,709"
91102,191,209
91103,"10,292","9,980"
91104,"9,730","9,816"
91105,"2,974","3,197"
91106,"4,558","4,526"
91107,"6,857","7,023"
91108,"1,402","1,473"
91109,413,427
91110,4,10
91114,46,43
91115,41,50
91116,75,72
91117,61,70
91118,27,22
91123,2,4
91124,4,1
91125,15,15
91126,21,19
91131,6,3
91175,3,5
91182,,1
91185,1,1
91188,,1
91191,1,
91201,"6,597","6,839"
91202,"5,791","5,868"
91203,"3,764","4,075"
91204,"6,106","6,814"
91205,"13,217","13,930"
91206,"9,736","10,244"
91207,"2,347","2,446"
91208,"3,396","3,522"
91209,209,214
91210,95,115
91214,"6,030","6,048"
91221,53,89
91222,32,26
91224,41,55
91225,109,119
91226,87,81
91301,"2,357","2,302"
91302,"4,609","4,477"
91303,"9,620","10,239"
91304,"15,676","16,822"
91305,182,167
91306,"14,291","15,093"
91307,"7,397","7,333"
91308,162,116
91309,138,146
91310,97,95
91311,"9,858","10,075"
91312,11,13
91313,143,149
91316,"8,839","8,766"
91321,"10,861","11,240"
91322,191,171
91324,"8,392","8,806"
91325,"10,246","10,378"
91326,"6,525","6,632"
91327,100,129
91328,537,406
91329,6,14
91330,35,32
91331,"40,590","43,807"
91333,105,129
91334,96,79
91335,"26,884","27,398"
91337,186,163
91340,"13,455","14,466"
91341,145,110
91342,"34,974","37,066"
91343,"21,893","23,114"
91344,"14,352","14,703"
91345,"6,412","6,974"
91346,230,416
91350,"7,175","7,359"
91351,"9,620","10,098"
91352,"17,432","18,210"
91353,226,222
91354,"4,638","4,784"
91355,"7,006","6,699"
91356,"9,838","10,160"
91357,218,201
91363,18,18
91364,"6,568","6,572"
91365,236,284
91367,"10,763","10,797"
91371,3,3
91372,49,73
91376,57,61
91380,274,283
91381,"3,105","3,125"
91382,12,23
91383,3,2
91384,"5,798","5,677"
91385,59,48
91386,251,247
91387,"10,372","10,555"
91388,19,19
91390,"3,489","3,401"
91392,209,237
91393,50,38
91394,85,85
91395,60,44
91396,89,88
91399,2,1
91401,"13,734","14,023"
91402,"27,496","30,824"
91403,"6,862","6,686"
91404,180,170
91405,"21,749","22,888"
91406,"18,115","19,497"
91407,108,84
91408,73,81
91409,214,208
91410,24,16
91411,"8,540","8,799"
91412,112,133
91413,253,251
91416,164,171
91423,"7,317","7,172"
91426,93,97
91436,"3,608","3,435"
91470,9,3
91482,1,
91495,35,12
91496,1,
91497,2,
91499,2,2
