Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90061,0.0,0.0,70.0,82.0,29.0,,191.0,,21.0,18.0,,,,59.0,,,,30.0,,
2005,90062,0.0,,89.0,97.0,45.0,11.0,250.0,,12.0,18.0,,,,74.0,,,,63.0,,0.0
2005,90063,,,70.0,132.0,63.0,13.0,286.0,,12.0,16.0,13.0,,20.0,71.0,,19.0,,54.0,,
2005,90064,0.0,0.0,11.0,71.0,98.0,,195.0,12.0,,18.0,,,,51.0,0.0,14.0,0.0,46.0,,
2005,90065,,0.0,48.0,109.0,64.0,,241.0,,,18.0,,11.0,16.0,69.0,,,,53.0,,
2005,90066,0.0,0.0,57.0,151.0,126.0,13.0,352.0,12.0,,23.0,,15.0,11.0,113.0,,17.0,,80.0,,
2005,90067,0.0,0.0,0.0,19.0,24.0,0.0,49.0,,0.0,,0.0,,,11.0,0.0,,,15.0,0.0,
2005,90068,0.0,0.0,31.0,55.0,66.0,,163.0,,0.0,,,,,47.0,,,,43.0,,
2005,90069,0.0,0.0,34.0,65.0,59.0,,173.0,,0.0,,,,,58.0,,,,40.0,,0.0
2005,90071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90073,0.0,0.0,0.0,,,0.0,19.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0
2005,90077,0.0,0.0,0.0,20.0,31.0,,68.0,,0.0,,0.0,,,18.0,,,0.0,25.0,,
2005,90089,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90094,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
2005,90095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90201,12.0,,129.0,144.0,51.0,19.0,350.0,,14.0,21.0,12.0,14.0,19.0,87.0,,14.0,,66.0,,
2005,90210,0.0,0.0,,62.0,73.0,,154.0,,0.0,15.0,0.0,,,54.0,,,,38.0,,
2005,90211,0.0,0.0,0.0,25.0,33.0,,70.0,,0.0,,,,0.0,23.0,0.0,,0.0,21.0,,0.0
2005,90212,0.0,0.0,,22.0,28.0,,68.0,,0.0,,,,,19.0,0.0,,,13.0,,
2005,90220,,,147.0,174.0,36.0,18.0,370.0,,23.0,31.0,,17.0,17.0,102.0,,,,77.0,,
2005,90221,,,128.0,83.0,31.0,12.0,256.0,,35.0,12.0,,,15.0,55.0,,,,50.0,,
2005,90222,0.0,,82.0,88.0,40.0,,228.0,,13.0,,,11.0,12.0,68.0,,,,46.0,,0.0
2005,90230,0.0,0.0,15.0,102.0,83.0,0.0,223.0,,,18.0,,,,67.0,,13.0,,65.0,,
2005,90232,,0.0,14.0,35.0,56.0,,123.0,,,,,,,25.0,,,,27.0,,0.0
2005,90240,,,17.0,63.0,66.0,,163.0,,,14.0,0.0,,,59.0,,,,33.0,,
2005,90241,0.0,,52.0,131.0,89.0,,282.0,,,17.0,,,15.0,99.0,,,,62.0,,
2005,90242,,,49.0,111.0,68.0,,254.0,,,17.0,,13.0,14.0,78.0,,,,50.0,,
2005,90245,,0.0,22.0,31.0,29.0,,100.0,,0.0,,,,,35.0,,,,19.0,0.0,
2005,90247,0.0,,84.0,164.0,68.0,,323.0,,,16.0,,17.0,14.0,104.0,,23.0,,72.0,,
2005,90248,0.0,0.0,12.0,43.0,24.0,,91.0,,,,0.0,,,25.0,,,,17.0,,
2005,90249,,,32.0,72.0,37.0,,170.0,,,,0.0,,,65.0,,,,32.0,,
2005,90250,,,144.0,182.0,97.0,21.0,439.0,,,32.0,,25.0,14.0,130.0,15.0,14.0,,97.0,,
