Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90001,,,168.25088461805316,150.90543259557344,74.58544369666274,19.079997224727677,409.35266773052103,,36.42544924720738,27.75272323596753,22.549087629223617,,,128.3563449663498,,,,69.38180808991882,,0.0
2005,90002,,0.0,235.36943586653612,214.65692551028093,80.96708593808842,26.361376817052047,542.2911802364993,,65.90344204263012,35.77615425171349,,,,139.33870603298936,,,,94.14777434661444,,
2005,90003,21.326508850501174,,171.9449776071657,157.28300277244614,55.98208573256558,14.661974834719556,422.53145660055446,,33.32267007890808,27.99104286628279,,15.99488163787588,22.659415653657497,119.96161228406909,,,,78.64150138622307,,
2005,90004,,,120.68057042816108,202.2674349429742,124.08002311627827,18.696989784644675,481.02255536858564,,,32.294800537113524,,,,134.27838118062994,,,,118.98084408410246,,0.0
2005,90005,,0.0,100.65158658685172,203.95189913651532,108.59776447528738,,458.2295915664565,,,,,,,132.43629814059437,,,,103.30031254966362,,
2005,90006,,,144.8046902592357,150.10242282969557,79.46598855689766,24.722751995479268,416.75496220950765,0.0,,26.488662852299214,,,26.488662852299214,132.44331426149608,,,,79.46598855689766,,0.0
2005,90007,0.0,0.0,87.7963125548727,141.44961467173934,51.21451565700907,,319.4810262413423,,,,,,,95.11267193444542,,,,63.408447956296946,,0.0
2005,90008,0.0,,232.79719434030716,377.91752327971943,305.3573588100133,,1000.7256016446971,,,54.420123352279596,0.0,51.39678316604184,45.35010279356633,314.4273793687266,33.25674204861531,,,229.77385415406943,,
2005,90010,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0
2005,90011,13.20231606344656,,165.028950793082,123.53595745082137,58.46739970954904,18.86045151920937,364.00671432074085,,28.29067727881405,16.974406367288434,,,29.23369985477452,93.35923502008637,10.373248335565155,13.20231606344656,,71.6697157729956,,0.0
2005,90012,0.0,,41.63413999479573,252.40697371844914,150.92375748113454,,507.416081186573,,,,,31.2256049960968,28.623471246422067,117.096018735363,,28.623471246422067,,150.92375748113454,,
2005,90013,0.0,0.0,356.4817988620004,198.80715705765405,,,671.8310824706931,0.0,0.0,0.0,0.0,,,198.80715705765405,,0.0,,164.53006101323095,,0.0
2005,90014,0.0,0.0,215.6799309824221,291.1679068262698,129.40795858945327,,798.0157446349617,0.0,,,,,,301.95190337539094,,,,129.40795858945327,,0.0
2005,90015,0.0,0.0,,58.699225170227756,,,203.49064725678954,0.0,,,0.0,,,58.699225170227756,,,0.0,,0.0,0.0
2005,90016,0.0,,215.60379631782538,325.51945718573637,192.3524065188442,23.251389798981165,760.9545752393836,,23.251389798981165,67.6404066879452,,,38.04772876196918,234.62766069880996,,29.59267792597603,,141.62210150288527,,
2005,90017,,,90.42220212839953,166.93329623704528,,,368.644362523475,,,,,,,118.24441816790709,,,,62.59998608889199,,
2005,90018,,0.0,210.42927572247385,314.64186941360373,222.45380576375808,,781.5944526834743,,32.06541344342459,50.10220850535091,,34.06950178363862,36.07359012385266,238.48651248547037,,50.10220850535091,,170.3475089181931,,0.0
2005,90019,0.0,,190.20366941592326,284.4638949671772,183.47079616226225,28.614711328059247,693.4859451270829,26.931493014644,,33.664366268305,,31.981147954889746,25.24827470122875,215.451944117152,,37.0308028951355,,153.17286652078775,,
2005,90020,0.0,,96.35416666666667,171.875,101.5625,,429.68750000000006,,,,,,,119.79166666666666,,28.645833333333332,,98.95833333333334,0.0,0.0
2005,90021,0.0,0.0,0.0,,,,827.0406328658755,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0
2005,90022,,,141.8616614962508,244.75033906496017,134.0670647107425,24.942709713626517,554.97529112819,,,37.41406457043977,20.265951642321543,,40.531903284643086,155.8919357101657,,20.265951642321543,,113.80111306842097,,0.0
2005,90023,,,163.83141074554513,215.44952645989497,123.43462453431482,,529.6467525472418,,24.686924906862963,,,,24.686924906862963,136.90021993805826,,,,107.72476322994748,,
2005,90024,0.0,0.0,27.782187648833148,204.39752341641528,242.10192093983173,,494.12605175424676,25.797745673916495,0.0,29.7666296237498,,,,162.72424194316557,,31.751071598666456,,117.08207652008257,,
2005,90025,0.0,,45.01564293592023,236.3321254135812,213.8243039456211,,549.1908438182269,,0.0,45.01564293592023,0.0,,,141.79927524814875,,29.26016790834815,,157.5547502757208,,
2005,90026,0.0,,180.64197378375457,240.8559650450061,148.21905541231143,29.33502138368664,606.77175809415,,,47.862403310225574,,24.703175902051907,26.24712439593015,176.01012830211985,,29.33502138368664,,94.1808581265729,,
2005,90027,0.0,,139.8479153920112,353.9900358360283,242.54872825801942,28.406607814002275,753.8676689100603,,,50.25784459400401,,34.9619788480028,39.33222620400315,246.91897561401976,,34.9619788480028,,174.809894240014,,
2005,90028,0.0,,174.29475179136273,290.49125298560455,125.87954296042865,35.504486476018336,616.4869924472274,,,35.504486476018336,,,,203.34387708992318,,,,119.42418178297076,0.0,
2005,90029,0.0,,207.79820485439694,311.6973072815954,181.82342924759732,,738.8380617045225,,,31.7469479638662,,51.949551213599236,,228.00080810413,,49.06346503506595,,118.32953331986492,,
2005,90031,0.0,0.0,138.82585364551352,293.6700750193555,192.2204127399418,,662.0925327709106,,,50.72483113970687,,,42.71564727554262,202.8993245588275,,40.04591932082121,,146.83503750967776,,
2005,90032,,,189.38971948040373,233.95200641696934,138.1430895033533,28.965486508767626,610.5033310309485,,,35.649829549252466,,28.965486508767626,,149.28366123749473,,31.193600855595907,,160.42423297163612,,0.0
2005,90033,0.0,0.0,148.98751442660793,224.53047948798655,138.4954359458609,25.180988353792888,562.3754065680412,,,48.263561011436366,,,35.673066834539924,140.5938516420103,,41.968313922988145,,92.33029063057393,,
2005,90034,0.0,0.0,72.64670093169394,128.94789415375675,139.84489929351082,,390.4760175078549,,,29.058680372677575,,,,118.05088901400266,,21.794010279508182,,98.07304625778681,,
2005,90035,0.0,,150.40421131791692,353.4498965971047,511.37431848091745,,1056.5895845083662,67.68189509306261,,86.48242150780221,,,41.36115811242715,289.52810678699,,41.36115811242715,,285.7680015040421,,
2005,90036,0.0,0.0,106.06422188635219,222.7348659613396,275.7669769045157,,636.3853313181131,,,39.77408320738207,,,,220.08326041418078,,37.12247766022326,,132.58027735794025,,
2005,90037,18.823120583806325,,222.98158230047494,175.19981466465885,101.35526468203406,27.51071469940924,522.7035792887756,,27.51071469940924,41.990038225414104,,28.95864705200973,23.166917641607785,130.31391173404378,,,0.0,101.35526468203406,,
2005,90038,0.0,,96.50094713892562,160.83491189820938,128.6679295185675,,457.4859716215733,,,,,,,146.53847528503522,,,,100.07505629221916,,0.0
2005,90039,0.0,0.0,113.29839966010479,336.35462399093615,212.43449936269653,,722.2772978331681,,,42.4868998725393,,,,219.51564934145304,,,,184.1098994476703,,
2005,90040,0.0,0.0,0.0,354.7596925415998,126.69989019342849,,633.4994509671425,0.0,0.0,,,,,177.3798462707999,,,0.0,135.14654953965706,,
2005,90041,0.0,,134.17605310546944,335.4401327636736,293.0687475724727,,797.9944211009499,45.90233395713428,,,,52.964231489001094,49.433282723067684,240.10451608347162,,45.90233395713428,,165.95459199887011,,
2005,90042,0.0,0.0,155.5341414346334,213.01415022569356,114.96001758212033,21.97765042011124,502.10478267484916,,,25.358827407820666,,,,160.60590691619754,,18.59647343240182,,126.7941370391033,,
2005,90043,0.0,,317.1318683790288,422.84249117203836,188.92962371516612,31.488270619194353,955.893929511257,,26.989946245023727,56.229054677132766,,40.48491936753559,51.730730302962144,330.6268415015407,,,,206.92292121184857,,0.0
2005,90044,13.132639660571774,,247.4997474492373,265.68340236387513,74.7550257601778,26.26527932114355,610.162642691181,,34.346903727649256,40.40812203252854,15.1530457621982,36.36730982927568,34.346903727649256,163.6528942317406,,17.173451863824628,,129.3059905040913,,
2005,90045,0.0,0.0,106.99608491598374,257.76329547941543,221.28735743987548,,615.2274882669066,,0.0,65.65668847117185,,26.749021228995936,,201.8335238187875,,,,150.76721056343166,,
2005,90046,0.0,0.0,130.7867967614698,319.7010587502595,319.7010587502595,24.911770811708536,793.0247041727217,,,39.443637118538504,,35.29167531658709,,286.4853643346481,,39.443637118538504,,182.68631928586257,24.911770811708536,
2005,90047,0.0,0.0,312.2605363984675,442.5287356321839,191.57088122605364,22.988505747126435,969.3486590038315,,42.1455938697318,61.30268199233716,,34.48275862068965,42.1455938697318,252.87356321839079,,38.31417624521073,,281.60919540229884,24.904214559386975,
2005,90048,0.0,0.0,53.89250894125716,426.2407525353976,622.2135123217872,,1195.433834696977,,0.0,,,78.38910391455588,,382.1468815834599,,97.98637989319485,,293.95913967958455,,
2005,90049,0.0,0.0,39.08540160250146,248.47148161590218,323.8504704207264,,644.9091264412742,,0.0,58.6281024037522,,,,175.88430721125658,,,,214.96970881375805,,
2005,90056,0.0,0.0,,607.90273556231,389.05775075987845,,1203.6474164133738,,,,0.0,,,437.6899696048632,,,,267.4772036474164,0.0,
2005,90057,0.0,0.0,165.45755377370497,231.21632514530566,123.03253998557551,,562.1314326927156,,,23.333757583471215,,27.576258962284165,23.333757583471215,167.57880446311145,,27.576258962284165,,137.88129481142082,,0.0
2005,90058,0.0,0.0,0.0,0.0,,0.0,426.3693014102984,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
2005,90059,0.0,,304.02067340579157,268.5515948417826,108.94074130374199,30.40206734057916,696.7140432216057,,45.60310101086874,27.868561728864226,,,38.002584175723946,225.48199944262876,,,,131.74229180917635,35.469078564009024,0.0
2005,90061,0.0,0.0,244.3622146198422,286.2528799832437,101.23577462822035,,666.7597570341409,,73.30866438595267,62.835998045102286,,,,205.96243803672417,,,,104.7266634085038,,
2005,90062,0.0,,265.44977332378903,289.31042710570273,134.21617752326415,32.808398950131235,745.6454306848008,,35.79098067287043,53.686471009305656,,,,220.71104748270102,,,,187.90264853256977,,0.0
2005,90063,,,134.59467774188587,253.80710659898475,121.13520996769728,24.996154437778802,549.9153976311337,,23.073373327180434,30.764497769573914,24.996154437778802,,38.45562221196739,136.51745885248422,,36.53284110136902,,103.83017997231195,,
2005,90064,0.0,0.0,42.37941131145015,273.53983664663275,377.56202804746493,,751.2713823393435,46.23208506703652,,69.34812760055479,,,,196.48636153490523,0.0,53.937432578209275,0.0,177.22299275697335,,
2005,90065,,0.0,106.91137492482792,242.7779138917968,142.54849989977058,,536.7841949350736,,,40.09176559681048,,24.50052342027307,35.637124974942644,153.68510145444017,,,,118.0479764794975,,
2005,90066,0.0,0.0,105.27871153633039,278.89623582431386,232.72136234346718,24.010934210040265,650.142218610321,22.163939270806395,,42.48088360237893,,27.704924088507997,20.316944331572532,208.71042813342692,,31.39891396697573,,147.75959513870933,,
2005,90067,0.0,0.0,0.0,716.1703731624576,904.6362608367886,0.0,1846.9656992084433,,0.0,,0.0,,,414.62495288352807,0.0,,,565.3976630229929,0.0,
2005,90068,0.0,0.0,147.17052791492594,261.1090011393847,313.3308013672617,,773.8321306494494,,0.0,,,,,223.12951006456515,,,,204.13976452715536,,
2005,90069,0.0,0.0,169.6183586929409,324.27039161885756,294.3377400848092,,863.0581192317285,,0.0,,,,,289.34896482913445,,,,199.5510102269893,,0.0
2005,90071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90073,0.0,0.0,0.0,,,0.0,1873.767258382643,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0
2005,90077,0.0,0.0,0.0,254.1942043721403,394.0010167768175,,864.260294865277,,0.0,,0.0,,,228.7747839349263,,,0.0,317.7427554651754,,
2005,90089,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,90094,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
2005,90095,,,,,,,,,,,,,,,,,,,,
2005,90201,12.61378686904787,,135.5982088422646,151.36544242857443,53.60859419345344,19.971829209325794,367.90211701389615,,14.716084680555847,22.07412702083377,12.61378686904787,14.716084680555847,19.971829209325794,91.44995480059706,,14.716084680555847,,69.37582777976328,,
2005,90210,0.0,0.0,,323.2533889468196,380.6047966631908,,802.9197080291971,,0.0,78.20646506777894,0.0,,,281.5432742440042,,,,198.1230448383733,,
